I0	A	Rs	Rsh	Error
5.518e-09	1.545e+00	7.569e+00	7.874e+03	1.950e+00
5.467e-09	1.544e+00	7.591e+00	7.871e+03	1.942e+00
5.373e-09	1.542e+00	7.547e+00	7.858e+03	1.942e+00
5.495e-09	1.545e+00	7.561e+00	7.879e+03	1.941e+00
5.527e-09	1.546e+00	7.541e+00	7.849e+03	1.927e+00
5.492e-09	1.545e+00	7.553e+00	7.853e+03	1.920e+00
5.496e-09	1.545e+00	7.526e+00	7.865e+03	1.913e+00
5.357e-09	1.542e+00	7.549e+00	7.855e+03	1.901e+00
5.533e-09	1.546e+00	7.524e+00	7.871e+03	1.872e+00
5.518e-09	1.545e+00	7.579e+00	7.862e+03	1.866e+00
5.551e-09	1.547e+00	7.518e+00	7.859e+03	1.855e+00
5.593e-09	1.548e+00	7.521e+00	7.861e+03	1.825e+00
5.347e-09	1.542e+00	7.593e+00	7.861e+03	1.824e+00
5.434e-09	1.544e+00	7.557e+00	7.840e+03	1.785e+00
5.541e-09	1.546e+00	7.524e+00	7.853e+03	1.754e+00
5.449e-09	1.543e+00	7.598e+00	7.864e+03	1.746e+00
5.256e-09	1.539e+00	7.604e+00	7.847e+03	1.738e+00
5.509e-09	1.546e+00	7.532e+00	7.851e+03	1.735e+00
5.357e-09	1.542e+00	7.554e+00	7.860e+03	1.728e+00
5.486e-09	1.544e+00	7.582e+00	7.874e+03	1.712e+00
5.318e-09	1.541e+00	7.574e+00	7.857e+03	1.705e+00
5.609e-09	1.548e+00	7.521e+00	7.863e+03	1.695e+00
5.532e-09	1.546e+00	7.581e+00	7.860e+03	1.687e+00
5.303e-09	1.541e+00	7.573e+00	7.848e+03	1.685e+00
5.263e-09	1.539e+00	7.599e+00	7.856e+03	1.646e+00
5.478e-09	1.545e+00	7.574e+00	7.876e+03	1.623e+00
5.453e-09	1.544e+00	7.578e+00	7.877e+03	1.615e+00
5.414e-09	1.544e+00	7.543e+00	7.855e+03	1.610e+00
5.308e-09	1.540e+00	7.595e+00	7.840e+03	1.602e+00
5.577e-09	1.547e+00	7.547e+00	7.875e+03	1.569e+00
5.346e-09	1.542e+00	7.577e+00	7.860e+03	1.564e+00
5.463e-09	1.544e+00	7.567e+00	7.844e+03	1.559e+00
5.488e-09	1.544e+00	7.573e+00	7.861e+03	1.546e+00
5.313e-09	1.541e+00	7.602e+00	7.855e+03	1.546e+00
5.340e-09	1.541e+00	7.593e+00	7.864e+03	1.537e+00
5.326e-09	1.541e+00	7.595e+00	7.855e+03	1.519e+00
5.569e-09	1.547e+00	7.560e+00	7.860e+03	1.514e+00
5.535e-09	1.546e+00	7.546e+00	7.853e+03	1.510e+00
5.322e-09	1.541e+00	7.604e+00	7.862e+03	1.482e+00
5.406e-09	1.543e+00	7.567e+00	7.856e+03	1.467e+00
5.487e-09	1.544e+00	7.586e+00	7.858e+03	1.434e+00
5.348e-09	1.541e+00	7.594e+00	7.860e+03	1.428e+00
5.513e-09	1.546e+00	7.565e+00	7.857e+03	1.427e+00
5.449e-09	1.544e+00	7.574e+00	7.874e+03	1.416e+00
5.427e-09	1.544e+00	7.586e+00	7.852e+03	1.397e+00
5.313e-09	1.540e+00	7.599e+00	7.864e+03	1.393e+00
5.501e-09	1.545e+00	7.586e+00	7.865e+03	1.366e+00
5.429e-09	1.544e+00	7.558e+00	7.848e+03	1.365e+00
5.488e-09	1.545e+00	7.558e+00	7.877e+03	1.359e+00
5.436e-09	1.543e+00	7.561e+00	7.873e+03	1.327e+00
5.346e-09	1.541e+00	7.565e+00	7.856e+03	1.326e+00
5.524e-09	1.546e+00	7.561e+00	7.877e+03	1.325e+00
5.318e-09	1.541e+00	7.579e+00	7.850e+03	1.320e+00
5.322e-09	1.541e+00	7.580e+00	7.860e+03	1.300e+00
5.401e-09	1.543e+00	7.551e+00	7.865e+03	1.286e+00
5.527e-09	1.546e+00	7.531e+00	7.854e+03	1.285e+00
5.393e-09	1.542e+00	7.555e+00	7.854e+03	1.278e+00
5.360e-09	1.541e+00	7.607e+00	7.850e+03	1.270e+00
5.397e-09	1.542e+00	7.602e+00	7.852e+03	1.265e+00
5.424e-09	1.543e+00	7.599e+00	7.861e+03	1.262e+00
5.444e-09	1.544e+00	7.590e+00	7.871e+03	1.262e+00
5.396e-09	1.543e+00	7.549e+00	7.859e+03	1.228e+00
5.390e-09	1.543e+00	7.551e+00	7.853e+03	1.210e+00
5.507e-09	1.545e+00	7.545e+00	7.853e+03	1.200e+00
5.520e-09	1.546e+00	7.567e+00	7.865e+03	1.195e+00
5.522e-09	1.546e+00	7.557e+00	7.876e+03	1.181e+00
5.488e-09	1.545e+00	7.542e+00	7.872e+03	1.179e+00
5.386e-09	1.543e+00	7.573e+00	7.868e+03	1.173e+00
5.425e-09	1.543e+00	7.555e+00	7.847e+03	1.129e+00
5.503e-09	1.545e+00	7.553e+00	7.848e+03	1.061e+00
5.487e-09	1.545e+00	7.584e+00	7.862e+03	1.053e+00
5.374e-09	1.542e+00	7.574e+00	7.845e+03	1.035e+00
5.400e-09	1.543e+00	7.577e+00	7.850e+03	1.023e+00
5.469e-09	1.545e+00	7.572e+00	7.853e+03	1.023e+00
5.469e-09	1.544e+00	7.571e+00	7.874e+03	1.022e+00
5.549e-09	1.547e+00	7.531e+00	7.867e+03	1.017e+00
5.573e-09	1.547e+00	7.540e+00	7.859e+03	1.013e+00
5.396e-09	1.542e+00	7.593e+00	7.854e+03	9.858e-01
5.391e-09	1.543e+00	7.557e+00	7.856e+03	9.753e-01
5.469e-09	1.545e+00	7.563e+00	7.857e+03	9.738e-01
5.415e-09	1.543e+00	7.574e+00	7.867e+03	9.593e-01
5.538e-09	1.546e+00	7.566e+00	7.862e+03	9.575e-01
5.466e-09	1.545e+00	7.539e+00	7.860e+03	9.570e-01
5.492e-09	1.545e+00	7.556e+00	7.872e+03	9.532e-01
5.508e-09	1.545e+00	7.568e+00	7.872e+03	9.352e-01
5.341e-09	1.541e+00	7.583e+00	7.845e+03	8.902e-01
5.472e-09	1.544e+00	7.583e+00	7.866e+03	8.776e-01
5.342e-09	1.541e+00	7.569e+00	7.851e+03	8.755e-01
5.419e-09	1.543e+00	7.592e+00	7.855e+03	8.719e-01
5.465e-09	1.545e+00	7.547e+00	7.865e+03	8.661e-01
5.519e-09	1.546e+00	7.540e+00	7.855e+03	8.645e-01
5.374e-09	1.542e+00	7.587e+00	7.865e+03	8.483e-01
5.471e-09	1.544e+00	7.581e+00	7.865e+03	8.354e-01
5.389e-09	1.542e+00	7.597e+00	7.862e+03	8.107e-01
5.456e-09	1.544e+00	7.566e+00	7.864e+03	8.084e-01
5.546e-09	1.546e+00	7.556e+00	7.858e+03	7.973e-01
5.379e-09	1.542e+00	7.582e+00	7.850e+03	7.966e-01
5.393e-09	1.542e+00	7.568e+00	7.862e+03	7.960e-01
5.379e-09	1.542e+00	7.566e+00	7.848e+03	7.663e-01
5.441e-09	1.543e+00	7.580e+00	7.870e+03	7.570e-01
5.512e-09	1.545e+00	7.556e+00	7.865e+03	7.285e-01
5.541e-09	1.546e+00	7.543e+00	7.865e+03	7.123e-01
5.322e-09	1.541e+00	7.589e+00	7.856e+03	6.950e-01
5.535e-09	1.546e+00	7.556e+00	7.857e+03	6.852e-01
5.328e-09	1.541e+00	7.595e+00	7.854e+03	6.522e-01
5.549e-09	1.546e+00	7.552e+00	7.868e+03	6.361e-01
5.389e-09	1.542e+00	7.589e+00	7.865e+03	6.300e-01
5.498e-09	1.545e+00	7.565e+00	7.867e+03	6.288e-01
5.489e-09	1.545e+00	7.573e+00	7.856e+03	6.087e-01
5.405e-09	1.543e+00	7.574e+00	7.855e+03	6.002e-01
5.399e-09	1.543e+00	7.577e+00	7.862e+03	5.760e-01
5.358e-09	1.542e+00	7.581e+00	7.851e+03	5.420e-01
5.480e-09	1.544e+00	7.573e+00	7.860e+03	5.052e-01
5.519e-09	1.546e+00	7.562e+00	7.860e+03	4.823e-01
5.468e-09	1.544e+00	7.570e+00	7.857e+03	4.409e-01
5.443e-09	1.544e+00	7.569e+00	7.868e+03	4.101e-01
5.365e-09	1.542e+00	7.574e+00	7.852e+03	3.650e-01
5.500e-09	1.545e+00	7.557e+00	7.857e+03	2.606e-01
5.381e-09	1.542e+00	7.574e+00	7.855e+03	2.510e-01
5.446e-09	1.544e+00	7.560e+00	7.865e+03	2.502e-01
